64bwyta64	bwytaont
2144ffili2144	ffilwn
2145rhuthro2145	rhuthran nhw
2146yfed2146	yfid
2147dysgu2147	dysgasai
2148smygu2148	smyget ti
2149gwerthu2149	gwerthech
2150llenydda2150	llenydda
2151danfon2151	danfonwch
2152galluogi2152	galluogasech
2153croestorri2153	croestorasech
2154nyddu2154	nyddwn
2155rhwystro2155	rhwystrych
2156hoelio2156	hoeliais i
2157cyfieithu2157	cyfieithwn i
2158dychwelyd2158	dychwelid
2159canu2159	canasant
2160gorchuddio2160	gorchuddiwn ni
2161gwylio2161	gwylio
2162taro2162	trawoch
2163amau2163	amheua i
2164cerdded2164	cerddais
2165iro2165	iron nhw
2166canu2166	canwch
2167cynnwys2167	cynnwys
2168cyfarfod2168	cyfarfyddent
2169difetha2169	difethwyd
2170coelio2170	coeliwn
2171achosi2171	achoswn ni
2172dilyn2172	dilynech chi
2173ffili2173	ffilwyf
2174treisio2174	treisian nhw
2175dathlu2175	dathlwch chi
2176marchogaeth2176	marchogasid
2177annog2177	anogoch chi
2178ceisio2178	ceisiasai
2179yfed2179	yfoch chi
2180cyffwrdd2180	cyffyrddasai
2181disgwyl2181	disgwyliem
2182iro2182	irasai
2183gadael2183	gadawswn
2184darllen2184	darllenasant
2185gwenu2185	gwenwn
2186ysu2186	ysa
2187cyfieithu2187	cyfieithwch chi
2188llenydda2188	llenyddodd
2189addo2189	addawsech
2190coelio2190	coeliwyd
2191galw2191	galwodd o
2192ymarfer2192	ymarferaist
2193rhofio2193	rhofio
2194llenydda2194	llenyddwch
2195rhuthro2195	rhuthront
2196niweidio2196	niweidiodd
2197ymddwyn2197	ymddyga i
2198darparu2198	darparant
2199glawio2199	glawion ni
2200condemnio2200	condemniet ti
2201cwyno2201	cwyni
2202arwain2202	arweiniaswn
2203canlyn2203	canlynwch
2204torri2204	torrych
2205iro2205	irasom
2206prynu2206	prynasech
2207darlunio2207	darlunia i
2208parhau2208	parhaed
2209cloi2209	cloi
2210condemnio2210	condemniasem
2211codi2211	codwch
2212sylwebu2212	sylweben ni
2213annog2213	anogoch
2214awgrymu2214	awgrymon nhw
2215prynu2215	prynaist
2216stopio2216	stopiasant
2217colli2217	collwn
2218ffurfio2218	ffurfiais
2219gwerthu2219	gwerthwn i
2220gwlychu2220	gwlychwch
2221cynnau2221	cyneuodd o
2222rhwystro2222	rhwystrwyd
2223cyfarfod2223	cyfarfyddit
2224anfon2224	anfonych
2225elwa2225	elwswn
2226palu2226	palasid
2227ymarfer2227	ymarferasent
2228gorchuddio2228	gorchuddiwch
2229ymlacio2229	ymlacian nhw
2230galw2230	galwasit
2231sefyll2231	safych
2232rhwygo2232	rhwygont
2233hedfan2233	hedfana i
2234darlunio2234	darluniwch
2235anghofio2235	anghofiech chi
2236colli2236	colli
2237sgwrsio2237	sgwrsiont
2238lluddias2238	lluddiasech
2239sylwi2239	sylwoch
2240teithio2240	teithio
2241ymolchi2241	ymolchit
2242croesi2242	croesiaf
2243croeshoelio2243	croeshoeliant
2244pwyso2244	pwysa i
2245tacluso2245	taclusasai
2246siarad2246	siaradasom
2247sgwrsio2247	sgwrsier
2248iro2248	irodd
2249gwlychu2249	gwlychasent
2250llyfu2250	llyfed
2251bwrw2251	bwriwn ni
2252eistedd2252	eistedden ni
2253anfon2253	anfonaist
2254canu2254	canedigcanadwy
2255anfon2255	anfonasent
2256cysgu2256	cysgant
2257ennill2257	enillen ni
2258coelio2258	coeliais i
2259treisio2259	treisiet ti
2260diolch2260	diolchaswn
2261canu2261	caner
2262gofyn2262	gofynnais
2263adolygu2263	adolygu
2264cnuchio2264	cnuchian nhw
2265marchogaeth2265	marchogasant
2266croesholi2266	croesholi
2267adolygu2267	adolygent
2268rhegi2268	rhegech
2269palu2269	palent
2270cynnig2270	cynigioch
2271arfer2271	arferwn ni
2272gorchuddio2272	gorchuddiaist
2273cynnau2273	cyneuasech
2274mwynhau2274	mwynheuech chi
2275cadw2275	cadwont
2276eistedd2276	eisteddych
2277gafael2277	gafaelaist
2278bwyta2278	bwytawn
2279niweidio2279	niweidiech
2280sgwrsio2280	sgwrsier
2281amau2281	amheuem
2282ysbrydoli2282	ysbrydolwn
2283teithio2283	teithiodd
2284gwlychu2284	gwlychai
2285cloi2285	clooch chi
2286talu2286	talaswn
2287palu2287	palaswn
2288terfynu2288	terfynent
2289gallu2289	gallaswn
2290atal2290	atalwn i
2291mynd2291	aethoch
2292gallu2292	gallon ni
2293sylwi2293	sylwon ni
2294dysgu2294	dysg
2295darllen2295	darllened
2296codi2296	cododd o
2297ennill2297	enillodd o
2298caledu2298	caledwn ni
2299arfer2299	arferoch
2300poeni2300	poenasem
2301ymweld2301	ymweli di
2302llenydda2302	llenyddom
2303amgyffred2303	amgyffreda
2304coelio2304	coelith o
2305gwerthu2305	gwertha i
2306diolch2306	diolchych
2307lluddias2307	lluddiedig
2308amgyffred2308	amgyffredais i
2309ysbrydoli2309	ysbrydolasent
2310gafael2310	gafaelais
2311cofio2311	cofiaist ti
2312cynnwys2312	cynhwysant
2313sylwi2313	sylwed
2314gafael2314	gafaelan nhw
2315darllen2315	darllenwn ni
2316medru2316	medraswn
2317disgwyl2317	disgwyliom
2318ffili2318	ffilit
2319cwyno2319	cwyno
2320croestorri2320	croestorrwyd
2321arwain2321	arweinio
2322bwrw2322	bwrit
2323methu2323	mether
2324defnyddio2324	defnyddiwch
2325darparu2325	darparais i
2326ymolchi2326	ymolchwn
2327siafio2327	siafio
2328lluddias2328	lluddiwn
2329cynnig2329	cynigiwch
2330eistedd2330	eisteddir
2331rhuthro2331	rhuthrwn
2332galluogi2332	galluogwn ni
2333cyrraedd2333	cyrhaeddwn ni
2334dysgu2334	dysga i
2335canlyn2335	canlynom
2336amgyffred2336	amgyffredych
2337llyfu2337	llyfer
2338rhofio2338	rhofiwch chi
2339gwlychu2339	gwlychech chi
2340ymarfer2340	ymarferwn
2341rhodio2341	rhodi
2342cerdded2342	cerddasech
2343lluddias2343	lluddiwch
2344ennill2344	enilli
2345ysbrydoli2345	ysbrydoli di
2346dangos2346	dangosych
2347amgyffred2347	amgyffredon nhw
2348arwain2348	arweiniwn
2349terfynu2349	terfynwch chi
2350amgyffred2350	amgyffredom
2351condemnio2351	condemniwyd
2352ysgrifennu2352	ysgrifenasoch
2353ymolchi2353	ymolchwn i
2354sylwi2354	sylwyd
2355edliw2355	edliwiasai
2356lluddias2356	lluddiasom
2357caru2357	carer
2358llanw2358	llanwn
2359llanw2359	llanwedig
2360llenydda2360	llenyddant
2361penderfynu2361	penderfynon nhw
2362amnewid2362	amnewidodd o
2363darllen2363	darllenwn
2364pydru2364	pydrasem
2365rhuthro2365	rhuthrodd o
2366ymweld2366	ymwelaf
2367hoelio2367	hoelient
2368ysbrydoli2368	ysbrydoler
2369talu2369	talwch
2370siafio2370	siafian nhw
2371caru2371	caret ti
2372condemnio2372	condemniedig
2373croeshoelio2373	croeshoelien nhw
2374atal2374	ateliwch
2375awgrymu2375	awgrymem
2376dysgu2376	dysget ti
2377cyrraedd2377	cyraeddasech
2378braenu2378	braenont
2379eistedd2379	eisteddwyd
2380talu2380	tâl
2381eistedd2381	eisteddoch
2382mwynhau2382	mwynhait
2383canoli2383	canolon ni
2384swyno2384	swynais i
2385poeni2385	poenodd
2386defnyddio2386	defnyddiant
2387marchogaeth2387	marchogan nhw
2388cysylltu2388	cysyllta i
2389disgwyl2389	disgwylier
2390rhoi2390	rhoddech chi
2391gwerthu2391	gwerthasit
2392sylwebu2392	sylweber
2393deall2393	deallych
2394deall2394	deallon nhw
2395siarad2395	siaredir
2396coelio2396	coeliwch
2397amgyffred2397	amgyffreda
2398agor2398	agorwn
2399cloi2399	clo
2400dileu2400	dileedig
2401ennill2401	enillasid
2402golchi2402	golchodd
2403uno2403	uni di
2404cymryd2404	cymerwch
2405croesholi2405	croesholent
2406difetha2406	difethodd
2407rhegi2407	rhegasant
2408taro2408	trawsit
2409dodi2409	dodaf
2410niweidio2410	niweidiwn
2411ystyried2411	ystyriwch
2412deall2412	deallan nhw
2413prynu2413	prynasid
2414eistedd2414	eisteddom
2415anghofio2415	anghofiodd o
2416uno2416	unont
2417codi2417	codasom
2418ennill2418	enillwn
2419galw2419	galwch chi
2420torri2420	torrith o
2421prynu2421	prynai
2422smygu2422	smygais
2423rhwygo2423	rhwygwyf
2424agor2424	agorais
2425ymuno2425	ymunasech
2426ymweld2426	ymweld
2427gorffen2427	gorffennem
2428nyddu2428	nydden ni
2429penderfynu2429	penderfynoch
2430adolygu2430	adolygid
2431methu2431	metha i
2432teithio2432	teithiwch
2433teimlo2433	teimlai fo
2434defnyddio2434	defnyddiaist
2435croesi2435	croesiont
2436mwynhau2436	mwynhaed
2437pydru2437	pydra
2438gafael2438	gafaeler
2439nyddu2439	nydder
2440difetha2440	difethi di
2441pydru2441	pydrom
2442tybio2442	tybiasit
2443siafio2443	siafiaswn
2444marchogaeth2444	marchogent
2445cilio2445	cilion ni
2446siarad2446	siaraden nhw
2447mwynhau2447	mwynheuais i
2448cofio2448	cofiech chi
2449ffurfio2449	ffurfiwn
2450rhwygo2450	rhwygasent
2451croesholi2451	croesholiwch chi
2452hedfan2452	hedfanir
2453defnyddio2453	defnyddient
2454galluogi2454	galluogasent
2455dileu2455	dileasid
2456cysgu2456	cysgid
2457arwain2457	arweiniwyd
2458sefyll2458	safais i
2459smygu2459	smygasoch
2460dilyn2460	dilynwch
2461dysgu2461	dysgoch chi
2462gwenu2462	gwenan nhw
2463amau2463	amheuir
2464llanw2464	llanwodd
2465ceisio2465	ceisith o
2466llanw2466	llanwasech
2467ciledrych2467	ciledrychi
2468gallu2468	gallen nhw
2469digwydd2469	digwyddo
2470atal2470	atelit
2471plannu2471	plennais
2472cyrraedd2472	cyrhaeddan nhw
2473rhegi2473	rhegoch chi
2474mwynhau2474	mwynhasit
2475llanw2475	llanw
2476torri2476	torasant
2477cofio2477	cofiedig
2478cyfnewid2478	cyfnewidiwch
2479edliw2479	edliwiaswn
2480methu2480	metha
2481cyfarfod2481	cyfarfuasech
2482ymddwyn2482	ymddygai
2483galluogi2483	galluogan nhw
2484palu2484	palwn i
2485gallu2485	gallasant
2486cynnau2486	cyneuom
2487pydru2487	pydrith o
2488bwrw2488	bwria
2489credu2489	credoch chi
2490awgrymu2490	awgrymais i
2491gadael2491	gadawn ni
2492lleihau2492	lleihwn
2493crynu2493	crynaist ti
2494ffili2494	ffilith o
2495darllen2495	darllenwn
2496danfon2496	danfoner
2497penderfynu2497	penderfynai fo
2498gwlychu2498	gwlychaswn
2499arwain2499	arweinian nhw
2500claddu2500	claddodd o
2501condemnio2501	condemnioch
2502ffili2502	ffilon nhw
2503hedfan2503	hedfanwch chi
2504talu2504	talit
2505annog2505	anogwn
2506rhedeg2506	rheder
2507llenydda2507	llenyddais
2508cyrraedd2508	cyrhaeddech
2509dysgu2509	dysgwch
2510ceisio2510	ceisia i
2511dilyn2511	dilynwch
2512cyrraedd2512	cyrhaeddont
2513defnyddio2513	defnyddied
2514ysu2514	ysen nhw
2515gwerthu2515	gwerthom
2516ffili2516	ffilasem
2517golchi2517	golchan nhw
2518lleoli2518	lleolwn
2519gafael2519	gafaelent
2520palu2520	palasent
2521rhedeg2521	rhedasant
2522gorffen2522	gorffenna i
2523agor2523	agorith o
2524caru2524	caran nhw
2525amau2525	amheuwn i
2526ymddwyn2526	ymddygir
2527llyfu2527	llyfaist
2528ymolchi2528	ymolchwn ni
2529iro2529	irwyf
2530awgrymu2530	awgryma
2531uno2531	unwch
2532ceisio2532	ceision nhw
2533glawio2533	glawiwn i
2534rhwygo2534	rhwygoch chi
2535gwenu2535	gwenai
2536deall2536	deallwch
2537methu2537	methon ni
2538lleoli2538	lleolan nhw
2539hudo2539	hudasent
2540ciledrych2540	ciledrychir
2541croestorri2541	croestorasoch
2542ffurfio2542	ffurfiwn
2543llosgi2543	llosgech
2544golchi2544	golchi di
2545difetha2545	difethed
2546cenhedlu2546	cenhedler
2547gwylio2547	gwyliwn
2548dilyn2548	dilynais i
2549amnewid2549	amnewidwch chi
2550cadw2550	cadwasech
2551elwa2551	elwech chi
2552cofio2552	cofiwn
2553siarad2553	siaradem
2554croeshoelio2554	croeshoelioch chi
2555dweud2555	dywedet ti
2556tybio2556	tybiodd
2557darlunio2557	darluniodd
2558ciledrych2558	ciledrychasit
2559codi2559	codasech
2560cusanu2560	cusanen nhw
2561croestorri2561	croestorrodd
2562crynu2562	crynedig
2563croesholi2563	croesholiwch
2564llosgi2564	llosgych
2565dechrau2565	dechreuwn
2566cilio2566	cili
2567ymarfer2567	ymarferer
2568danfon2568	danfonasent
2569ffili2569	ffilaf
2570cenhedlu2570	cenhedlwch
2571difetha2571	difethen nhw
2572rhodio2572	rhodi
2573nyddu2573	nyddwch
2574teithio2574	teithiodd o
2575gorchuddio2575	gorchuddient
2576nyddu2576	nyddych
2577pwyso2577	pwysith o
2578rhedeg2578	rhedais i
2579arfer2579	arferwch chi
2580gwrthod2580	gwrthoda
2581gwrthod2581	gwrthodasit
2582ffili2582	ffila
2583coginio2583	coginier
2584sylwi2584	sylwan nhw
2585ymuno2585	ymunwn i
2586elwa2586	elwent
2587rhegi2587	rhegwyf
2588dileu2588	dileych
2589rhegi2589	rhegodd o
2590taro2590	trawai
2591elwa2591	elwodd
2592cuddio2592	cuddwn
2593cilio2593	cilioch chi
2594sylwebu2594	sylwebasech
2595peidio2595	peidiedig
2596rhoi2596	rhoddet ti
2597ffurfio2597	ffurfient
2598ymddwyn2598	ymddygais
2599cysgu2599	cysgech
2600nyddu2600	nyddwn ni
2601edliw2601	edliwid
2602marchogaeth2602	marchogasoch
2603darparu2603	darparodd o
2604danfon2604	danfon
2605cyfrwyo2605	cyfrwywch
2606ffili2606	ffilwn i
2607sgwrsio2607	sgwrsiasant
2608coginio2608	coginient
2609aros2609	arhoson nhw
2610ennill2610	enillith o
2611penderfynu2611	penderfynwn
2612lleoli2612	lleolwyf
2613rhofio2613	rhofient
2614ffurfio2614	ffurfion ni
2615pydru2615	pydran nhw
2616gallu2616	gellir
2617llosgi2617	llosged
2618ysbrydoli2618	ysbrydolir
2619ysbrydoli2619	ysbrydolai
2620rhoi2620	rhodden nhw
2621galluogi2621	galluogwn
2622croestorri2622	croestorra
2623anfon2623	anfonasom
2624galluogi2624	galluogi
2625crynu2625	crynaswn
2626gweld2626	gwelent
2627gorffen2627	gorffennith o
2628awgrymu2628	awgrymasech
2629rhedeg2629	rhedwch
2630dweud2630	dywedir
2631ffili2631	ffiledig
2632danfon2632	danfonith o
2633ysbrydoli2633	ysbrydolwn i
2634sgwrsio2634	sgwrsia
2635tacluso2635	taclusoch
2636syrthio2636	syrthiaist ti
2637cyfarfod2637	cyfarfyddwch chi
2638ysgrifennu2638	ysgrifennent
2639cynnull2639	cynullai
2640teithio2640	teithiasech
2641ysmygu2641	ysmygasom
2642siafio2642	siafia
2643gwerthu2643	gwerth
2644dechrau2644	dechreuwyf
2645galluogi2645	galluoged
2646darlunio2646	darlunia
2647cadw2647	cadwodd o
2648cyfnewid2648	cyfnewidiaf
2649mwynhau2649	mwynheuai fo
2650gwario2650	gwari di
2651teithio2651	teithiwyd
2652croesholi2652	croesholwn
2653cwyno2653	cwynwyf
2654rhodio2654	rhodient
2655rhwygo2655	rhwygwch
2656cyrraedd2656	cyrraedd
2657treisio2657	treisiech chi
2658achosi2658	achosi di
2659talu2659	talech
2660awgrymu2660	awgrymwch chi
2661marchogaeth2661	marchogwyd
2662mynd2662	eith o
2663swyno2663	swynem
2664cerdded2664	cerddwch
2665dangos2665	dangosais
2666rhedeg2666	rheden ni
2667dodi2667	dodan nhw
2668canlyn2668	canlyno
2669croeshoelio2669	croeshoeliwn ni
2670lleoli2670	lleolais i
2671darlunio2671	darluniasoch
2672pydru2672	pydroch chi
2673sefyll2673	safaswn
2674siarad2674	siaradent
2675cyrraedd2675	cyraeddedig
2676galluogi2676	galluogi
2677rhwystro2677	rhwystri
2678clywed2678	clywen ni
2679dechrau2679	dechreuo
2680amgyffred2680	amgyffredant
2681sgwrsio2681	sgwrsi
2682meddwl2682	meddylient
2683terfynu2683	terfynant
2684palu2684	palen ni
2685cofio2685	cofient
2686bwrw2686	bwriwn
2687teithio2687	teithiech
2688gadael2688	gadawn
2689sylwi2689	sylwith o
2690galw2690	galwoch chi
2691pwyso2691	pwysont
2692pydru2692	pydrwyd
2693ceisio2693	ceisiai fo
2694teimlo2694	teimloch
2695rhuthro2695	rhuthrwn
2696cynnull2696	cynullon ni
2697medru2697	medrech
2698ymlacio2698	ymlacith o
2699bwrw2699	bwrient
2700dathlu2700	dathloch chi
2701ennill2701	enilla
2702siafio2702	siafid
2703ffurfio2703	ffurfiech chi
2704teithio2704	teithioch
2705plannu2705	plennir
2706stopio2706	stopiwn
2707ysmygu2707	ysmygwch
2708gweld2708	gwelsit
2709eistedd2709	eisteddwn
2710parhau2710	parhau
2711cloi2711	cloit
2712cenhedlu2712	cenhedlwn
2713gwlychu2713	gwlychent
2714disgwyl2714	disgwyl
2715mynd2715	aethoch chi
2716condemnio2716	condemniai
2717cloi2717	cloech
2718gorchuddio2718	gorchuddiwn
2719ymolchi2719	ymolchai fo
2720diolch2720	diolchodd o
2721gadael2721	gadawo
2722gweld2722	gwelsech
2723dathlu2723	dathlwn i
2724ymddwyn2724	ymddyga
2725hofran2725	hofranais i
2726rhodio2726	rhodiem
2727hofran2727	hofran
2728darllen2728	darllenasom
2729gwlychu2729	gwlychedig
2730hedfan2730	hedfani
2731eistedd2731	eisteddai
2732ymweld2732	ymwelasem
2733annog2733	anogem
2734ennill2734	enillasent
2735cymryd2735	cymerais i
2736atal2736	ataliasech
2737cilio2737	ciliasom
2738taro2738	trawer
2739claddu2739	claddasoch
2740sylwi2740	sylwi di
2741addo2741	addawa
2742pweru2742	pwerai fo
2743cerdded2743	cerddwyd
2744hofran2744	hofranen ni
2745addysgu2745	addysgai fo
2746croesi2746	croesais i
2747darparu2747	darparon nhw
2748codi2748	codasid
2749cyfnewid2749	cyfnewidiant
2750canu2750	cenir
2751dysgu2751	dysgan nhw
2752adolygu2752	adolygo
2753caru2753	carom
2754ffurfio2754	ffurfiaist
2755galluogi2755	galluogech
2756talu2756	talwch chi
2757sylwebu2757	sylwebech chi
2758ffili2758	ffila i
2759ymlacio2759	ymlaciech
2760galw2760	gelwais
2761anafu2761	anafen ni
2762coginio2762	coginiet ti
2763poeni2763	poenan nhw
2764gwrthod2764	gwrthoded
2765cenhedlu2765	cenhedlaf
2766teithio2766	teithith o
2767penderfynu2767	penderfynech chi
2768amau2768	amheuwn
2769dodi2769	dodent
2770siafio2770	siafiech
2771cofio2771	cofioch
2772croeshoelio2772	croeshoeliwn
2773uno2773	unaist
2774annog2774	anoged
2775ymuno2775	ymunwch
2776sylwi2776	sylwais i
2777tybio2777	tybiasent
2778medru2778	medrwn
2779ceisio2779	ceisio
2780hoelio2780	hoeliasid
2781disgyn2781	disgynaswn
2782cloi2782	cloodd o
2783rhodio2783	rhodi
2784clymu2784	clymwch chi
2785croesholi2785	croeshola
2786dilyn2786	dilynwyd
2787methu2787	methi
2788taro2788	trewir
2789crynu2789	crynodd o
2790dilyn2790	dilynwn i
2791cadw2791	cadwasom
2792braenu2792	braenais
2793cloi2793	cloaist ti
2794rhwygo2794	rhwygi
2795rhoi2795	rhoesent
2796clymu2796	clymasoch
2797peidio2797	peidiasent
2798cyfarfod2798	cyfarfyddant
2799cynnwys2799	cynhwyswyf
2800diolch2800	diolchasit
2801ffurfio2801	ffurfiwch
2802darlunio2802	darlunioch
2803elwa2803	elwer
2804disgwyl2804	disgwylient
2805atal2805	atalen nhw
2806treisio2806	treisiaist
2807cyfrwyo2807	cyfrwyen nhw
2808cloi2808	cloid
2809uno2809	unasit
2810darlunio2810	darlunient
2811cwyno2811	cwynoch
2812arfer2812	arfer
2813methu2813	methasai
2814caru2814	carant
2815iro2815	irodd o
2816cyfnewid2816	cyfnewidi di
2817terfynu2817	terfynom
2818ymweld2818	ymwelasid
2819anfon2819	anfonasoch
2820bwyta2820	bwytawyd
2821teithio2821	teithiech
2822crynu2822	crynoch chi
2823plannu2823	plannon ni
2824mynd2824	aer
2825niweidio2825	niweidiech chi
2826plannu2826	planna
2827elwa2827	elwoch
2828arwain2828	arweiniasai
2829canu2829	canasent
2830coelio2830	coeliasoch
2831gorffen2831	gorffennaf
2832bwrw2832	bwrian nhw
2833cyrraedd2833	cyrhaedder
2834taro2834	trewaist
2835ysu2835	yset ti
2836uno2836	unedigunadwy
2837casáu2837	casâf
2838gweld2838	gwelwch
2839gwlychu2839	gwlychoch
2840cysylltu2840	cysylltodd
2841hudo2841	huda
2842ymuno2842	ymuni
2843cyffwrdd2843	cyffyrddasoch
2844gafael2844	gafaelasem
2845meddwl2845	meddwl
2846lladd2846	lladdasech
2847amau2847	amheuwn
2848swyno2848	swynwch
2849dysgu2849	dysgais
2850amnewid2850	amnewidi di
2851dilyn2851	dilyn
2852ceisio2852	ceisied
2853casáu2853	casaon ni
2854talu2854	tâl
2855meddwl2855	meddyli di
2856mynd2856	elont
2857defnyddio2857	defnyddio
2858marchogaeth2858	marchogwch
2859canoli2859	canolwch chi
2860ysbrydoli2860	ysbrydolith o
2861cyfnewid2861	cyfnewidir
2862annog2862	anogir
2863cuddio2863	cuddasech
2864gofyn2864	gofynaswn
2865lladd2865	lladdwyd
2866clymu2866	clymwch
2867cofio2867	cofiaf
2868arwain2868	arweiniaist
2869croesi2869	croesiasech
2870cynnull2870	cynnull
2871rhedeg2871	rhedasent
2872lleihau2872	lleihit
2873disgyn2873	disgynir
2874yfed2874	yfed
2875ymlacio2875	ymlacioch
2876caru2876	carech
2877dychwelyd2877	dychwelem
2878clymu2878	clymo
2879cynnull2879	cynullwch
2880cyffwrdd2880	cyffyrddent
2881lluddias2881	lluddid
2882condemnio2882	condemniwch chi
2883difetha2883	difethith o
2884disgwyl2884	disgwyliasech
2885sgwrsio2885	sgwrsia
2886croestorri2886	croestorri
2887cyrraedd2887	cyrhaeddith o
2888anghofio2888	anghofiwch
2889cyfnewid2889	cyfnewidied
2890amgyffred2890	amgyffredir
2891cyfnewid2891	cyfnewidioch chi
2892dilyn2892	dilynasai
2893ffurfio2893	ffurfian nhw
2894clywed2894	clywem
2895galw2895	gelwych
2896cwyno2896	cwynwn
2897dangos2897	dangosa i
2898defnyddio2898	defnyddier
2899meddwl2899	meddyliais
2900hudo2900	hudais i
2901rhoi2901	rhois
2902ennill2902	enillaswn
2903cysylltu2903	cysylltent
2904niweidio2904	niweidit
2905iro2905	iro
2906gofyn2906	gofynnid
2907gwerthu2907	gwerthwn
2908mynd2908	awn
2909gafael2909	gafaeli di
2910rhoi2910	rhônt
2911cynnau2911	cyneuych
2912cyfarfod2912	cyfarfyddet ti
2913ffili2913	ffilasai
2914torri2914	torron nhw
2915agor2915	agorais i
2916ymuno2916	ymunan nhw
2917dysgu2917	dysgith o
2918ciledrych2918	ciledrychon ni
2919cyfnewid2919	cyfnewidiais
2920eistedd2920	eisteddodd o
2921colli2921	collant
2922cyfrwyo2922	cyfrwyit
2923crynu2923	crynoch
2924dychwelyd2924	dychwelwn i
2925caru2925	carasech
2926mynd2926	aethost
2927sefyll2927	safit
2928coginio2928	coginiodd
2929agor2929	agorwn
2930dangos2930	dangosasai
2931caledu2931	caleda
2932coelio2932	coelio
2933anfon2933	anfonith o
2934llenydda2934	llenydda
2935darllen2935	darllena
2936canu2936	cana i
2937bwrw2937	bwriodd o
2938cynnull2938	cynullai fo
2939cynnau2939	cyneuwch
2940digwydd2940	digwyddasai
2941condemnio2941	condemniech
2942colli2942	collwn i
2943golchi2943	golchwyd
2944ysgrifennu2944	ysgrifenna
2945hoelio2945	hoelien ni
2946ffurfio2946	ffurfi
2947ystyried2947	ystyried
2948croestorri2948	croestorasit
2949difetha2949	difether
2950cilio2950	cilion nhw
2951teithio2951	teithiasid
2952cynnig2952	cynigit
2953plannu2953	planasech
2954cynnwys2954	cynhwyser
2955dechrau2955	dechreuais
2956bwrw2956	bwriodd
2957gwrthod2957	gwrthod
2958amau2958	ameuasom
2959cynnau2959	cyneuwyf
2960cynnig2960	cynigiai
2961annog2961	anoga
2962coelio2962	coelia
2963tacluso2963	taclusai
2964gwrthod2964	gwrthodedig
2965rhwygo2965	rhwygodd o
2966gwlychu2966	gwlychoch chi
2967darllen2967	darlleno
2968rhegi2968	rhegwch
2969croeshoelio2969	croeshoeli
2970stopio2970	stopiech chi
2971rhoi2971	rhodda
2972arwain2972	arweiniasom
2973llanw2973	llenwid
2974dechrau2974	dechreuasem
2975amgyffred2975	amgyffredwn i
2976ymolchi2976	ymolchwch
2977darparu2977	darparasai
2978poeni2978	poenwch
2979coginio2979	coginiaswn
2980dilyn2980	dilynith o
2981clywed2981	clywent
2982awgrymu2982	awgrymwch
2983gwrthod2983	gwrthodent
2984clymu2984	clymedig
2985ffili2985	ffiloch chi
2986cynnull2986	cynullit
2987cynnau2987	cyneuit
2988gwerthu2988	gwerthi
2989cerdded2989	cerddaf
2990addysgu2990	addysgit
2991annog2991	anogasech
2992cusanu2992	cusenais
2993cenhedlu2993	cenhedlasom
2994cerdded2994	cerddwn
2995sgwrsio2995	sgwrsiwn i
2996siarad2996	siarader
2997gorffen2997	gorffenasit
2998ennill2998	eniller
2999aros2999	arhoswn
3000anghofio3000	anghofient
3001rhoi3001	rhoeswn
3002palu3002	palasai
3003torri3003	torasoch
3004galluogi3004	galluogent
3005claddu3005	claddi di
3006gwenu3006	gwenir
3007anghofio3007	anghofien ni
3008dangos3008	dangosaf
3009arfer3009	arferasom
3010tacluso3010	tacluson ni
3011arfer3011	arferwn
3012hofran3012	hofranwn
3013loncian3013	loncien ni
3014bwyta3014	bwytet ti
3015atal3015	atalioch
3016ystyried3016	ystyriedig
3017dileu3017	dilewch
3018rhegi3018	rhegwn
3019smygu3019	smyga
3020tacluso3020	taclusi di
3021talu3021	talasid
3022marchogaeth3022	marchogai
3023agor3023	agora i
3024amau3024	amheuodd
3025plannu3025	planna
3026darllen3026	darllenasem
3027dychwelyd3027	dychwelont
3028disgyn3028	disgyno
3029gwenu3029	gwener
3030cymryd3030	cymerasom
3031ysbrydoli3031	ysbrydolom
3032croesholi3032	croesholant
3033gwylio3033	gwyliet ti
3034ysmygu3034	ysmygen ni
3035condemnio3035	condemniaswn
3036hofran3036	hofrani di
3037cuddio3037	cuddodd
3038cyfrwyo3038	cyfrwyer
3039syrthio3039	syrthiom
3040codi3040	codoch
3041gwlychu3041	gwlychi di
3042talu3042	talwyf
3043rhuthro3043	rhuthrem
3044diolch3044	diolchasem
3045anfon3045	anfoned
3046poeni3046	poena
3047ymweld3047	ymwelwch
3048ymlacio3048	ymlaciech
3049arfer3049	arferant
3050ysu3050	ysant
3051disgwyl3051	disgwylien ni
3052niweidio3052	niweidioch
3053rhwystro3053	rhwystred
3054bwrw3054	bwriasem
3055torri3055	torrwch chi
3056parhau3056	pery
3057anfon3057	anfonasant
3058mynd3058	âi fe
3059amnewid3059	amnewidon ni
3060bwyta3060	bwytâ
3061mwynhau3061	mwynheuwn ni
3062crynu3062	crynasant
3063ymolchi3063	ymolchais i
3064ysbrydoli3064	ysbrydolaswn
3065stopio3065	stopiaist ti
3066braenu3066	braeni
3067cyfieithu3067	cyfieithais i
3068cynnig3068	cynigiais i
3069smygu3069	smygaf
3070croeshoelio3070	croeshoelient
3071ystyried3071	ystyriant
3072adolygu3072	adolygont
3073crynu3073	crynwyf
3074anghofio3074	anghofi di
3075treisio3075	treisia
3076canu3076	cân
3077medru3077	medra i
3078teimlo3078	teimlem
3079lleihau3079	lleihwch
3080arfer3080	arferen nhw
3081ymuno3081	ymunodd o
